tradeday,account,ticker,quantity
2017-12-11,XLIN01,CMG,3
2017-12-11,XLIN01,EBAY,10
2017-12-11,XLIN01,INTU,2
2017-12-11,XLIN01,JD,10
2017-12-11,XLIN01,KO,14
2017-12-11,XLIN01,KR,45
2017-12-11,XLIN01,LQD,8
2017-12-11,XLIN01,SQ,10
2017-12-11,XLIN01,TWTR,29
2017-12-11,XLIN01,YUMC,15
2017-12-12,XLIN01,CMG,3
2017-12-12,XLIN01,EBAY,10
2017-12-12,XLIN01,INTU,2
2017-12-12,XLIN01,JD,10
2017-12-12,XLIN01,KO,14
2017-12-12,XLIN01,KR,45
2017-12-12,XLIN01,LQD,8
2017-12-12,XLIN01,SQ,10
2017-12-12,XLIN01,TWTR,29
2017-12-12,XLIN01,YUMC,15
2017-12-13,XLIN01,CMG,3
2017-12-13,XLIN01,EBAY,10
2017-12-13,XLIN01,INTU,2
2017-12-13,XLIN01,JD,10
2017-12-13,XLIN01,KO,14
2017-12-13,XLIN01,KR,45
2017-12-13,XLIN01,LQD,8
2017-12-13,XLIN01,SQ,10
2017-12-13,XLIN01,TWTR,29
2017-12-13,XLIN01,YUMC,15
2017-12-14,XLIN01,CMG,3
2017-12-14,XLIN01,EBAY,10
2017-12-14,XLIN01,INTU,2
2017-12-14,XLIN01,JD,10
2017-12-14,XLIN01,KO,14
2017-12-14,XLIN01,KR,45
2017-12-14,XLIN01,LQD,8
2017-12-14,XLIN01,SQ,10
2017-12-14,XLIN01,TWTR,29
2017-12-14,XLIN01,YUMC,15
2017-12-15,XLIN01,CMG,3
2017-12-15,XLIN01,EBAY,10
2017-12-15,XLIN01,INTU,2
2017-12-15,XLIN01,JD,10
2017-12-15,XLIN01,KO,14
2017-12-15,XLIN01,KR,45
2017-12-15,XLIN01,LQD,8
2017-12-15,XLIN01,SQ,10
2017-12-15,XLIN01,TWTR,29
2017-12-15,XLIN01,YUMC,15
2017-12-18,XLIN01,CMG,3
2017-12-18,XLIN01,EBAY,10
2017-12-18,XLIN01,INTU,2
2017-12-18,XLIN01,JD,10
2017-12-18,XLIN01,KO,14
2017-12-18,XLIN01,KR,45
2017-12-18,XLIN01,LQD,8
2017-12-18,XLIN01,SQ,10
2017-12-18,XLIN01,TWTR,29
2017-12-18,XLIN01,YUMC,15
2017-12-19,XLIN01,CMG,3
2017-12-19,XLIN01,EBAY,10
2017-12-19,XLIN01,INTU,2
2017-12-19,XLIN01,JD,10
2017-12-19,XLIN01,KO,14
2017-12-19,XLIN01,KR,45
2017-12-19,XLIN01,LQD,8
2017-12-19,XLIN01,SQ,10
2017-12-19,XLIN01,TWTR,29
2017-12-19,XLIN01,YUMC,15
2017-12-20,XLIN01,CMG,3
2017-12-20,XLIN01,EBAY,10
2017-12-20,XLIN01,INTU,2
2017-12-20,XLIN01,JD,10
2017-12-20,XLIN01,KO,14
2017-12-20,XLIN01,KR,45
2017-12-20,XLIN01,LQD,8
2017-12-20,XLIN01,SQ,10
2017-12-20,XLIN01,TWTR,29
2017-12-20,XLIN01,YUMC,15
2017-12-21,XLIN01,CMG,3
2017-12-21,XLIN01,EBAY,10
2017-12-21,XLIN01,INTU,2
2017-12-21,XLIN01,JD,10
2017-12-21,XLIN01,KO,14
2017-12-21,XLIN01,KR,45
2017-12-21,XLIN01,LQD,8
2017-12-21,XLIN01,SQ,10
2017-12-21,XLIN01,TWTR,29
2017-12-21,XLIN01,YUMC,15
2017-12-22,XLIN01,CMG,3
2017-12-22,XLIN01,EBAY,10
2017-12-22,XLIN01,INTU,2
2017-12-22,XLIN01,JD,10
2017-12-22,XLIN01,KO,14
2017-12-22,XLIN01,KR,45
2017-12-22,XLIN01,LQD,8
2017-12-22,XLIN01,SQ,10
2017-12-22,XLIN01,TWTR,29
2017-12-22,XLIN01,YUMC,15
2017-12-25,XLIN01,CMG,3
2017-12-25,XLIN01,EBAY,10
2017-12-25,XLIN01,INTU,2
2017-12-25,XLIN01,JD,10
2017-12-25,XLIN01,KO,14
2017-12-25,XLIN01,KR,45
2017-12-25,XLIN01,LQD,8
2017-12-25,XLIN01,SQ,10
2017-12-25,XLIN01,TWTR,29
2017-12-25,XLIN01,YUMC,15
2017-12-26,XLIN01,CMG,3
2017-12-26,XLIN01,EBAY,10
2017-12-26,XLIN01,INTU,2
2017-12-26,XLIN01,JD,10
2017-12-26,XLIN01,KO,14
2017-12-26,XLIN01,KR,45
2017-12-26,XLIN01,LQD,8
2017-12-26,XLIN01,SQ,10
2017-12-26,XLIN01,TWTR,29
2017-12-26,XLIN01,YUMC,15
2017-12-27,XLIN01,CMG,3
2017-12-27,XLIN01,EBAY,10
2017-12-27,XLIN01,INTU,2
2017-12-27,XLIN01,JD,10
2017-12-27,XLIN01,KO,14
2017-12-27,XLIN01,KR,45
2017-12-27,XLIN01,LQD,8
2017-12-27,XLIN01,SQ,10
2017-12-27,XLIN01,TWTR,29
2017-12-27,XLIN01,YUMC,15
2017-12-28,XLIN01,CMG,3
2017-12-28,XLIN01,EBAY,10
